"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","LTINT","TOT","PC_PA","M","2001-03",4.92,
"IRL","LTINT","TOT","PC_PA","M","2001-04",5.09,
"IRL","LTINT","TOT","PC_PA","M","2001-05",5.28,
"IRL","LTINT","TOT","PC_PA","M","2001-06",5.23,
"IRL","LTINT","TOT","PC_PA","M","2001-07",5.23,
"IRL","LTINT","TOT","PC_PA","M","2001-08",5.01,
"IRL","LTINT","TOT","PC_PA","M","2001-09",5.01,
"IRL","LTINT","TOT","PC_PA","M","2001-10",4.77,
"IRL","LTINT","TOT","PC_PA","M","2001-11",4.63,
"IRL","LTINT","TOT","PC_PA","M","2001-12",4.93,
"IRL","LTINT","TOT","PC_PA","M","2002-01",5.02,
"IRL","LTINT","TOT","PC_PA","M","2002-02",5.2,
"IRL","LTINT","TOT","PC_PA","M","2002-03",5.42,
"IRL","LTINT","TOT","PC_PA","M","2002-04",5.41,
"IRL","LTINT","TOT","PC_PA","M","2002-05",5.41,
"IRL","LTINT","TOT","PC_PA","M","2002-06",5.25,
"IRL","LTINT","TOT","PC_PA","M","2002-07",5.11,
"IRL","LTINT","TOT","PC_PA","M","2002-08",4.84,
"IRL","LTINT","TOT","PC_PA","M","2002-09",4.63,
"IRL","LTINT","TOT","PC_PA","M","2002-10",4.7,
"IRL","LTINT","TOT","PC_PA","M","2002-11",4.67,
"IRL","LTINT","TOT","PC_PA","M","2002-12",4.46,
"IRL","LTINT","TOT","PC_PA","M","2003-01",4.27,
"IRL","LTINT","TOT","PC_PA","M","2003-02",4.06,
"IRL","LTINT","TOT","PC_PA","M","2003-03",4.09,
"IRL","LTINT","TOT","PC_PA","M","2003-04",4.22,
"IRL","LTINT","TOT","PC_PA","M","2003-05",3.89,
"IRL","LTINT","TOT","PC_PA","M","2003-06",3.69,
"IRL","LTINT","TOT","PC_PA","M","2003-07",4.01,
"IRL","LTINT","TOT","PC_PA","M","2003-08",4.17,
