short_rate(t),short_rate(t+5y)
1.5136,-0.17
1.6625,-0.19
1.6041,-0.21
1.4366,-0.19
1.3974,-0.2
1.2877,-0.18
1.0837,-0.2
1.0069,-0.23
1.0007,-0.23
0.9878,-0.25
0.9652,-0.26
0.9009,-0.23
0.6214,-0.23
0.4068,-0.24
0.3124,-0.27
0.3217,-0.31
0.3345,-0.31
0.3009,-0.31
0.2771,-0.3
0.3051,-0.31
0.3285,-0.3
0.2743,-0.3
0.26,-0.29
0.2403,-0.28
0.2582,-0.3
0.2684,-0.3
0.2681,-0.3
0.2711,-0.3
0.273,-0.31
0.2536,-0.3
0.2585,-0.29
0.28,-0.3
0.27,-0.32
0.29,-0.32
0.31,-0.37
0.35,-0.34
0.36,-0.36
0.38,-0.39
0.37,-0.43
0.28,-0.45
0.3,-0.43
0.3,-0.41
0.3,-0.4
0.18,-0.41
-0.33,-0.41
-0.19,-0.36
-0.19,-0.12
-0.18,-0.13
-0.2,-0.17
-0.16,-0.19
-0.07,-0.21
-0.01,-0.23
-0.07,-0.22
-0.14,-0.23
-0.13,-0.22
-0.06,-0.24
14.53571,4.036522
14.0435,4.375263
14.04333,4.87625
14.09889,5.078333
14.01105,5.511429
13.431,8.286667
12.90435,9.129091
13.2855,9.001111
13.73619,9.066842
13.64625,9.283913
13.77429,9.004706
13.7285,8.36087
13.37238,8.172857
12.9855,8.416
12.65454,8.063889
12.39895,7.484118
11.5365,7.349333
11.28227,6.791429
10.90364,6.165217
9.824286,5.675882
9.967647,5.484762
11.34177,5.3815
13.43454,5.407222
13.59174,4.951304
13.36238,4.673529
13.3485,4.56381
12.81105,4.342273
12.30875,4.243333
12.021,4.288235
11.96727,4.217727
11.6605,4.254706
11.29826,4.204783
11.76474,4.204375
11.68222,4.205625
11.41455,4.128182
10.80591,3.820909
9.995789,3.661579
9.708095,3.4285
8.999524,3.533043
9.105882,3.661875
9.294286,3.668571
9.145294,3.624706
9.049091,3.684286
9.098182,3.740455
8.937647,3.84
8.7105,4.246923
8.423636,4.553636
8.07619,4.931429
7.723913,4.9815
7.23,5.2305
7.115714,5.282941
6.909474,5.431176
6.770952,5.619524
6.1965,5.714118
6.214545,5.7
6.366316,5.802273
6.595,5.795
6.263158,5.496667
5.921667,5.322632
5.070909,5.172857
4.036522,4.71087
4.375263,4.599
4.87625,4.394444
5.078333,4.1
5.511429,3.812381
8.286667,3.83
9.129091,3.833182
9.001111,4.388421
9.066842,4.33
9.283913,4.233333
9.004706,4.315556
8.36087,4.517273
8.172857,4.360435
8.416,4.111765
8.063889,3.362273
7.484118,3.009524
7.349333,3.48375
6.791429,3.659474
6.165217,3.783182
5.675882,4.058235
5.484762,4.2265
5.3815,3.597333
5.407222,2.986111
4.951304,2.105217
4.673529,1.29619
4.56381,0.618125
4.342273,0.487727
4.243333,0.39
4.288235,0.372941
4.217727,0.311818
4.254706,0.412778
4.204783,0.537273
4.204375,0.701053
4.205625,0.722778
4.128182,0.749545
3.820909,1.072609
3.661579,1.238333
3.4285,1.268421
3.533043,1.395238
3.661875,1.496875
3.668571,1.4925
3.624706,1.637273
3.684286,1.615882
3.740455,1.788261
3.84,1.8275
4.246923,1.905556
4.553636,1.952273
4.931429,2.088182
